x,y,z
-4.82639,-0.0766094,14.4026
-0.0766094,-0.114914,13.9046
1.76202,-0.57457,14.4026
3.56234,-0.229828,13.4066
3.83047,1.30236,11.4531
4.55826,-0.612875,10.4189
4.9413,0.65118,9.76769
4.86469,1.22575,10.7636
3.67725,0.727789,11.8745
-0.0383047,0.536266,11.5297
-3.67725,0.881008,9.76769
-7.89076,1.45558,5.78401
-11.3765,-0.0383047,4.74978
-13.0236,-2.83455,4.82639
-12.0277,-5.7074,9.15482
-9.72939,-7.3545,12.5639
-9.07821,-7.43111,13.2151
-4.97961,-5.66909,11.8361
-5.09452,-4.17521,9.30804
-6.66501,-4.71148,7.73755
-8.04398,-5.36266,6.81823
-8.84838,-5.97553,6.85654
-9.07821,-6.12875,6.93315
-8.08229,-5.24774,5.89892
-7.73755,-4.40504,4.97961
-5.20944,-4.40504,3.2942
-5.20944,-4.67317,2.14506
-5.86062,-5.09452,1.34066
-7.00976,-5.20944,0.57457
-7.85246,-5.17113,-0.459656
-8.31211,-5.24774,-2.14506
-7.77585,-4.97961,-3.60064
-7.43111,-4.40504,-3.94538
-6.5501,-4.0986,-2.29828
-5.89892,-4.13691,0
-5.93723,-4.63487,2.18337
-5.89892,-4.02199,2.37489
-5.40096,-3.2942,2.37489
-4.40504,-3.21759,2.64302
-4.29012,-2.98777,3.48573
-3.56234,-2.22167,4.97961
-1.95354,-2.03015,6.89484
-0.766094,-1.26405,7.73755
-0.153219,-0.0766094,7.46941
0.229828,1.14914,7.04806
0.0383047,2.79624,6.16705
0.612875,4.40504,7.00976
3.10268,6.20536,7.92907
6.85654,6.74162,9.34634
7.08637,5.86062,10.4955
4.36673,5.59248,9.8443
3.10268,6.70332,7.96737
3.10268,7.3545,8.23551
2.87285,7.3545,9.42295
3.48573,8.23551,8.96329
7.54602,10.3806,7.54602
9.95922,10.7636,7.50772
8.54194,9.69109,8.27381
7.00976,8.54194,8.1972
6.05214,8.00568,7.46941
4.97961,7.54602,7.04806
4.97961,8.08229,6.20536
4.903,8.38873,5.13283
4.78809,9.69109,4.86469
4.82639,9.806,6.12875
6.43519,10.0358,8.31211
7.43111,10.304,9.8443
8.00568,10.8402,10.4955
